title,id,release_date,duration,genre_count,genre,rating,keywords,language,budget,revenue,url
The Orphanage,6537,5/20/2007,1h 45m,3,"Horror,Drama,Thriller",72,11,Spanish; Castilian,"3,400,000.00","78,638,987.00",https://www.themoviedb.org/movie/6537
Free Willy,1634,7/16/1993,1h 52m,3,"Family,Adventure,Drama",62,9,English,"20,000,000.00","153,698,625.00",https://www.themoviedb.org/movie/1634
Midsommar,530385,7/3/2019,2h 28m,3,"Horror,Drama,Mystery",71,20,English,"9,000,000.00","47,980,982.00",https://www.themoviedb.org/movie/530385
The Lost Prince,520725,2/12/2020,1h 41m,3,"Fantasy,Adventure,Comedy",59,0,French, NaN, NaN,https://www.themoviedb.org/movie/520725
Arlo the Alligator Boy,763568,4/16/2021,1h 30m,3,"Animation,Comedy,Family",70,4,English, NaN, NaN,https://www.themoviedb.org/movie/763568
Die Another Day,36669,11/17/2002,2h 13m,3,"Adventure,Action,Thriller",60,7,English,"140,000,000.00","431,971,116.00",https://www.themoviedb.org/movie/36669
Saw 3D,41439,10/21/2010,1h 30m,2,"Horror,Crime",60,11,English,"20,000,000.00","136,150,434.00",https://www.themoviedb.org/movie/41439
Bare Sex,500713,6/14/2003,1h 19m,2,"Romance,Drama",83,1,English, NaN, NaN,https://www.themoviedb.org/movie/500713
Scott Pilgrim vs. the World,22538,8/12/2010,1h 52m,4,"Comedy,Action,Romance,Fantasy",74,13,English,"85,000,000.00","48,000,000.00",https://www.themoviedb.org/movie/22538
God's Not Dead 2,347126,4/1/2016,2h 1m,1,Drama,61,20,English,"5,000,000.00","23,507,567.00",https://www.themoviedb.org/movie/347126
Primal: Tales of Savagery,704264,11/21/2019,1h 25m,3,"Action,Adventure,Animation",84,0,English, NaN, NaN,https://www.themoviedb.org/movie/704264
A Christmas Carol,17979,11/4/2009,1h 34m,4,"Animation,Family,Drama,Fantasy",68,16,English,"200,000,000.00","325,286,646.00",https://www.themoviedb.org/movie/17979
A Star Is Born,332562,10/3/2018,2h 16m,3,"Drama,Romance,Music",75,24,English,"36,000,000.00","433,888,866.00",https://www.themoviedb.org/movie/332562
Status Update,416494,2/9/2018,1h 46m,3,"Comedy,Fantasy,Science Fiction",74,3,English, NaN, NaN,https://www.themoviedb.org/movie/416494
Top Gun,744,5/16/1986,1h 50m,3,"Action,Drama,Adventure",70,16,English,"15,000,000.00","356,830,601.00",https://www.themoviedb.org/movie/744
Tinker Bell and the Lost Treasure,25475,9/3/2009,1h 21m,4,"Animation,Family,Adventure,Fantasy",68,4,English, NaN, NaN,https://www.themoviedb.org/movie/25475
The Fox and the Hound,10948,7/10/1981,1h 22m,4,"Adventure,Animation,Drama,Family",71,7,English,"12,000,000.00","29,800,000.00",https://www.themoviedb.org/movie/10948
Grisaia: Phantom Trigger The Animation,601980,3/15/2019,1h 30m,2,"Action,Animation",50,0,Japanese, NaN, NaN,https://www.themoviedb.org/movie/601980
Underdogs,153158,7/18/2013,1h 46m,3,"Animation,Adventure,Romance",65,1,Spanish; Castilian,"22,000,000.00","34,061,097.00",https://www.themoviedb.org/movie/153158
Love and Monsters,590223,10/16/2020,1h 49m,4,"Comedy,Action,Adventure,Fantasy",74,7,English,"30,000,000.00","1,070,714.00",https://www.themoviedb.org/movie/590223
Avengers Grimm,323660,3/17/2015,1h 30m,2,"Action,Fantasy",42,4,English, NaN, NaN,https://www.themoviedb.org/movie/323660
Tinker Bell and the Legend of the NeverBeast,297270,12/12/2014,1h 17m,3,"Adventure,Animation,Family",71,3,English, NaN, NaN,https://www.themoviedb.org/movie/297270
Monster Hunter: Legends of the Guild,851281,8/12/2021,58m,4,"Animation,Adventure,Action,Fantasy",58,1,English, NaN, NaN,https://www.themoviedb.org/movie/851281
Friday the 13th: A New Beginning,9731,3/22/1985,1h 32m,1,Horror,53,13,English,"2,200,000.00","21,930,418.00",https://www.themoviedb.org/movie/9731
